event_id,room_id
E:YI8EPEIYLA,0113_00_G.152
E:QMONNQK2JS,0003_01_1.01
E:9TG25RG6EW,0254_01_1.04
E:AB7IE4VJRJ,0252_01_1.2
E:RW9FK9NM69,0226_01_1.12
E:YIQETXFD2B,0201_02_2.06
E:8YISOV8J4S,0226_-1_LG.10
E:NF3THLJ7CJ,0008_02_2.365
E:5FW46YW7RZ,0252_01_1.2
E:53YYSVXW4L,0201_00_G.05
E:GTCQMQGTH5,0311_02_2.01
E:HFU2J1ESZS,0226_-1_LG.10
E:91FBLBRAGL,0003_01_1.04
E:WPYZNQKRPC,0113_00_G.152
E:SLDCDFKNTJ,0228_-1_LG.09
E:DSHL3TL21P,0226_-1_LG.14
E:O4QT7MY64X,0201_00_G.05
E:U4Y9566NDY,0226_-1_LG.11
E:Z1I1TUXCTM,0003_01_1.05
E:29GWRMRRBS,0226_00_GF.14
E:XATEK15QWG,0450_03_3.52
E:2U4QH1DSVV,0226_-1_LG.11
E:ZUWQD2N38K,0113_00_G.204
E:8T4K5KJT5T,0226_-1_LG.18
E:WT6NF3M9GX,0131_04_4.07
E:HT64J6HLC8,0201_00_G.05
E:JU9VH8SJJJ,0008_00_G.251
E:474O28L86V,0226_-1_LG.10
E:6KKE3OE22X,0103_01_1.B04
E:YTE2AF1QCB,0008_02_2.365
E:JHPN63SS6Q,0226_00_GF.14
E:OM5QMLCP5L,0226_-1_LG.11
E:2R9X93RYPV,0103_01_1.B10
E:4NL42319AD,0226_-1_LG.19
E:84W5WEXEOK,0335_02_2.2
E:8IT7PWRH6H,0003_01_1.04
E:BK4DXZOOAD,0226_00_GF.14
E:XBWFWMA1FM,0311_04_4.09
E:M2M3KKQAUO,0201_00_G.05
E:O6GFPLM8UL,0335_02_2.18
E:6U3QPH7LH8,0228_11_11.11
E:DBMOJGZSUZ,0229_01_1.B
E:3W56CEFLRU,0226_-1_LG.10
E:FDJ9QYAVLT,0008_02_2.365
E:SBNMTQ1G67,0103_01_1.B10
E:MZIX5D9P7R,0335_00_G.12
E:3F6VSVEDU4,0201_00_G.05
E:N21NUL9VOR,0226_-1_LG.14
E:BK4TWN82B9,0226_-1_LG.19
E:9DLQ46OE8N,0226_01_1.07
E:88R3DZOSPF,0228_-1_LG.08
E:B922FID7RD,0252_01_1.2
E:KRQ8RJOVT3,0228_-1_LG.08
E:YAC8BVOCXC,0226_01_1.12
E:IHJ4VH251V,0226_01_1.07
E:PB5KXBTZPO,0226_00_GF.14
E:5ABWVOJL5Q,0226_01_1.12
E:BQ1YRBY6MQ,0252_01_1.2
E:9R296S9FCK,0201_00_G.05
E:KLTU8MVIEE,0226_-1_LG.11
E:5KGW67LFGX,0001_01_1.266
E:YEYGNYT4VV,0226_-1_LG.14
E:PCA1GSGFYX,0226_01_1.12
E:3LL7US3EZV,0335_02_2.2
E:D8LR413T5D,0226_-1_LG.14
E:IY5B1GEGLS,0226_-1_LG.18
E:Q8SJKS6C5L,0201_00_G.05
E:H58FOEWHHN,0252_01_1.2
E:CORMD518YF,0226_-1_LG.10
E:HE5R3QAHII,0226_00_GF.14
E:RYX2OEOG2E,0252_01_1.2
E:7QYBSY2HCY,0226_00_GF.14
E:SJ99BFRVK6,0229_01_1.C
E:AJBQOXCXGY,0252_01_1.2
E:7R3J7Y6884,0008_02_2.365
E:8IXVZ44MDV,0226_00_GF.14
E:WZ68ESBPTB,0226_-1_LG.18
E:15MNFJOF3A,0001_01_1.270
E:5CTL5J4JIF,0616_02_02.02-E
