description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
Room 304B,40.0,633,Geology/Geophysics (Grant Institute),Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0633_03_3.304B,rooms_table
Classroom 4,54.0,602,Hudson Beare Building,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0602_00_G.10,rooms_table
Lecture Theatre 2,195.0,602,Hudson Beare Building,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0602_00_G.2,rooms_table
1104,104.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_01_1.1104,rooms_table
1206c - Teaching Studio,72.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0613_01_1.1206C,rooms_table
1208,66.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0613_01_1.1208,rooms_table
1501,62.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0613_01_1.1501,rooms_table
1512,30.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0613_01_1.1512,rooms_table
2205,12.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_02_2.2205,rooms_table
2206,7.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_02_2.2206,rooms_table
2209,60.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_02_2.2209,rooms_table
2901,14.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0613_02_2.2901,rooms_table
Lecture Theatre A,197.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0613_02_2.3902,rooms_table
Lecture Theatre B,150.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0613_02_2.3905,rooms_table
Lecture Theatre C,104.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0613_02_2.3908,rooms_table
3201,18.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_03_3.3201,rooms_table
3206,21.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_03_3.3206,rooms_table
3208,32.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_03_3.3208,rooms_table
3211 - Teaching Studio,24.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0613_03_3.3211,rooms_table
3212 - Teaching Studio,24.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0613_03_3.3212,rooms_table
3217 - Teaching Studio,84.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0613_03_3.3217,rooms_table
3301,54.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_03_3.3301,rooms_table
4203,15.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_04_4.4203,rooms_table
4205,15.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_04_4.4205,rooms_table
4207,15.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_04_4.4207,rooms_table
4208,15.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_04_4.4208,rooms_table
4325B,39.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0613_04_4.4325B,rooms_table
4325C - Teaching Studio,48.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0613_04_4.4325C,rooms_table
4325D - Computer Lab,66.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0613_04_4.4325D,rooms_table
5205,54.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Teaching Studio,Yes,0613_05_5.5205,rooms_table
5326,42.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0613_05_5.5326,rooms_table
5327,50.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0613_05_5.5327,rooms_table
5328,50.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0613_05_5.5328,rooms_table
6201,38.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0613_06_6.6201,rooms_table
6206,52.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0613_06_6.6206,rooms_table
6231,90.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_06_6.6231,rooms_table
6301,60.0,613,JCMB,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0613_06_6.6301,rooms_table
6307,45.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_06_6.6307,rooms_table
Meteorology Teaching Laboratory,50.0,613,JCMB,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0613_08_8.8216,rooms_table
Theatre 100,94.0,632,Joseph Black Building,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0632_00_G.009,rooms_table
Theatre 250,230.0,632,Joseph Black Building,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0632_00_G.024,rooms_table
Lecture Room 40,36.0,632,Joseph Black Building,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0632_00_G.092,rooms_table
G.69,25.0,632,Joseph Black Building,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0632_00_G.69,rooms_table
NG4 (James Walker Lab) - access via Christina Miller Building entrance,45.0,632,Joseph Black Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0632_00_G.A04,rooms_table
NG7 (Lyon Playfair Lab) - access via Christina Miller Building entrance,90.0,632,Joseph Black Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0632_00_G.A07,rooms_table
N1.04 (Charles Hope Lab) - access via Christina Miller Building entrance,50.0,632,Joseph Black Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0632_01_1.A04,rooms_table
N1.10 (Edmund Hirst Lab) - access via Christina Miller Building entrance,50.0,632,Joseph Black Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0632_01_1.A10,rooms_table
G.04,20.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0654_00_G.04,rooms_table
G.05,24.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.05,rooms_table
G.07 - Teaching Studio,90.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0654_00_G.07,rooms_table
G.09 - Teaching Studio,60.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0654_00_G.09,rooms_table
G.10,20.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.10,rooms_table
G.12,20.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.12,rooms_table
G.13,19.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.13,rooms_table
G.26 Charlotte Murchison Lecture Theatre,105.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0654_00_G.26,rooms_table
G.30,20.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.30,rooms_table
G.31,46.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.31,rooms_table
G.32,28.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.32,rooms_table
G.33,20.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.33,rooms_table
G.34,24.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_00_G.34,rooms_table
1.19,68.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0654_01_1.19,rooms_table
1.20 - Open Access/Teaching Computer Lab,74.0,654,Murchison House,Kings Buildings,Locally Allocated Space,IT Infrastructure Computer Lab,Computer Laboratory,Yes,0654_01_1.20,rooms_table
LG.01 - Open Access Computer Lab,45.0,654,Murchison House,Kings Buildings,Locally Allocated Space,IT Infrastructure Computer Lab,Computer Laboratory,Yes,0654_-1_LG.01,rooms_table
LG.12 - Open Access Computer Lab,101.0,654,Murchison House,Kings Buildings,Locally Allocated Space,IT Infrastructure Computer Lab,Computer Laboratory,Yes,0654_-1_LG.12,rooms_table
G.02 - Elm Lecture Theatre,112.0,639,Nucleus,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0639_00_G.02,rooms_table
1.14 - Oak Lecture Theatre,400.0,639,Nucleus,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0639_01_1.14,rooms_table
1.15 - Larch Lecture Theatre,300.0,639,Nucleus,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0639_01_1.15,rooms_table
2.03 - Hawthorn Teaching Studio,132.0,639,Nucleus,Kings Buildings,Centrally Allocated Space,Teaching Studio,Teaching Studio,Yes,0639_02_2.03,rooms_table
2.06 - Rowan,60.0,639,Nucleus,Kings Buildings,Centrally Allocated Space,Group Cluster Style,General Teaching,Yes,0639_02_2.06,rooms_table
2.07 - Yew Lecture Theatre,150.0,639,Nucleus,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0639_02_2.07,rooms_table
Teaching Laboratory 3.03,100.0,639,Nucleus,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0639_03_3.03,rooms_table
B.01 - Alder Lecture Theatre,300.0,639,Nucleus,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0639_-1_B.01,rooms_table
G.128 - Wet Teaching Lab,36.0,620,Peter Wilson Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0620_00_G.128,rooms_table
G.155 - Computer Teaching Lab,48.0,620,Peter Wilson Building,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0620_00_G.155,rooms_table
Main Lecture Theatre,372.0,612,Swann Building,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0612_01_1.02,rooms_table
7.15,50.0,612,Swann Building,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0612_07_7.15,rooms_table
7.20,58.0,612,Swann Building,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0612_07_7.20,rooms_table
G.02 Non-destructive Teaching Lab,5.0,668,William Rankine,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0668_00_G.02,rooms_table
1.18 Geotech Constitutive Modelling and Teaching Lab,12.0,668,William Rankine,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0668_01_1.18,rooms_table
Classroom 14,72.0,616,Alrick,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0616_04_04.12-E,rooms_table
C.01,13.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.01,rooms_table
C.03,24.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.03,rooms_table
C.04,18.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.04,rooms_table
C.05,36.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.05,rooms_table
C.06,44.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.06,rooms_table
C.07,37.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.07,rooms_table
C.08,37.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.08,rooms_table
C.09,36.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.09,rooms_table
C.12,34.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.12,rooms_table
C.13 (West Court),150.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0421_C_C.13,rooms_table
C.15 Sculpture Court (Ground Floor),120.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.15,rooms_table
C.15 Sculpture Court (Balcony),50.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.15-2,rooms_table
C.19 + D.12,30.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_C_C.19_D.12,rooms_table
C.26,24.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Classroom Style,ECA Specialist Space,Yes,0421_C_C.26,rooms_table
C.28,24.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Boardroom Style,ECA Specialist Space,Yes,0421_C_C.28,rooms_table
E.01,18.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.01,rooms_table
E.02,9.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.02,rooms_table
E.04,14.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.04,rooms_table
E.06,15.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.06,rooms_table
E.08,8.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.08,rooms_table
E.09,10.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.09,rooms_table
E.10,20.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.10,rooms_table
E.11,21.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.11,rooms_table
E.12,7.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.12,rooms_table
E.13,14.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.13,rooms_table
E.14,14.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.14,rooms_table
E.15,26.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.15,rooms_table
E.18,30.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.18,rooms_table
E.19,15.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0421_E_E.19,rooms_table
E.20 + F.02,51.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.20_F.02,rooms_table
E.21,21.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0421_E_E.21,rooms_table
Lecture Theatre E.22,218.0,421,ECA Main Building,Lauriston,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0421_E_E.22,rooms_table
E.23,30.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.23,rooms_table
E.25,50.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_E_E.25,rooms_table
E.26,20.0,421,ECA Main Building,Lauriston,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0421_E_E.26,rooms_table
F.08,11.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0421_F_F.08,rooms_table
1.09,46.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0424_01_1.09,rooms_table
1.18,12.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0424_01_1.18,rooms_table
2.13 - Mac Computer Lab,21.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0424_02_2.13,rooms_table
2.14 - PC Computer Lab,21.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0424_02_2.14,rooms_table
3.20,10.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0424_03_3.20,rooms_table
3.23,103.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0424_03_3.23,rooms_table
4.09,70.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0424_04_4.09,rooms_table
4.10,85.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0424_04_4.10,rooms_table
4.17,18.0,424,Evolution House,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0424_04_4.17,rooms_table
5.21,40.0,424,Evolution House,Lauriston,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0424_05_5.21,rooms_table
Lecture Theatre O.17A,78.0,423,Hunter Building,Lauriston,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0423_O_O.17,rooms_table
O.25 (ECA Cinema),60.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_O_O.25,rooms_table
P.05,28.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_P_P.05,rooms_table
P.06,34.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0423_P_P.06,rooms_table
P.07,30.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0423_P_P.07,rooms_table
P.13,40.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0423_P_P.13,rooms_table
P.17,46.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0423_P_P.17,rooms_table
P.18,24.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_P_P.18,rooms_table
P.18A,5.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_P_P.18A,rooms_table
Q.02,87.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0423_Q_Q.02,rooms_table
Q.15,10.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_Q_Q.15,rooms_table
Q.16,20.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_Q_Q.16,rooms_table
Q.18,8.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_Q_Q.18,rooms_table
Q.20,30.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_Q_Q.20,rooms_table
Q.21,20.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_Q_Q.21,rooms_table
Q.24,29.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0423_Q_Q.24,rooms_table
R.01,99.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0423_R_R.01,rooms_table
R.02,58.0,423,Hunter Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0423_R_R.02,rooms_table
Lecture Theatre 3,193.0,201,Appleton Tower,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0201_00_G.06,rooms_table
Lecture Theatre 2,194.0,201,Appleton Tower,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0201_00_G.07,rooms_table
Lecture Theatre 1,193.0,201,Appleton Tower,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0201_00_G.08,rooms_table
Lecture Theatre 5,300.0,201,Appleton Tower,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0201_01_1.06,rooms_table
Lecture Theatre 4,307.0,201,Appleton Tower,Central,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0201_01_1.08,rooms_table
Sydney Smith - Doorway 1,60.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0422_J_J.03,rooms_table
1.312 - Doorway 1,60.0,113,"Medical School, Teviot",Central,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0422_J_J.05,rooms_table
K.02,50.0,422,North-East Studio Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0422_K_K.02,rooms_table
K.05,35.0,422,North-East Studio Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0422_K_K.05,rooms_table
L.02,50.0,422,North-East Studio Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0422_L_L.02,rooms_table
L.04,20.0,422,North-East Studio Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Studio Space,Yes,0422_L_L.04,rooms_table
L.06 - ECA Ante Room,16.0,422,North-East Studio Building,Lauriston,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0422_L_L.06,rooms_table
Martin Hall,84.0,401,New College,New College,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0401_01_1.01,rooms_table
Althaus-Reid Room,32.0,401,New College,New College,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0401_01_1.07,rooms_table
Oldham Room,12.0,401,New College,New College,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0401_01_1.08,rooms_table
Porteous Room,10.0,401,New College,New College,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0401_01_1.09,rooms_table
Baillie Room,38.0,401,New College,New College,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0401_01M_01M.19,rooms_table
McIntyre Room,18.0,401,New College,New College,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0401_02_2.17,rooms_table
Elizabeth Templeton Lecture Room,108.0,401,New College,New College,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0401_02_2.28,rooms_table
Lecture Theatre C7,90.0,646,Royal Observatory,Kings Buildings,Centrally Allocated Space,Specialist Room,General Teaching,Yes,0646_00_G.05(U),rooms_table
Computer Lab U3,30.0,646,Royal Observatory,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0646_01_1.3A(U),rooms_table
R.02B,27.0,423,Hunter Building,Lauriston,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0423_R_R.02B,rooms_table
MEC - Seminar Room 3,35.0,2305,Western General Hospital,Western General,Locally Allocated Space,Specialist Room,General Teaching,Yes,2305_03_8,rooms_table
EG.02 (Lecture Theatre),180.0,2302,IGC,Western General,Locally Allocated Space,Lecture Theatre,General Teaching,Yes,2302_00_EG.02,rooms_table
Usher Innovate,20.0,2716,Usher Building,Bioquarter,Locally Allocated Space,Boardroom Style,General Teaching,Yes,2716_00_G.22,rooms_table
Usher Enlighten One,84.0,2716,Usher Building,Bioquarter,Locally Allocated Space,Classroom Style,General Teaching,Yes,2716_00_G.18,rooms_table
Usher Enlighten Two,60.0,2716,Usher Building,Bioquarter,Locally Allocated Space,Classroom Style,General Teaching,Yes,2716_00_G.17,rooms_table
Usher Engage,36.0,2716,Usher Building,Bioquarter,Locally Allocated Space,Group Cluster Style,General Teaching,Yes,2716_00_G.30,rooms_table
85/88,64.0,640,Ashworth Labs,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0640_00_G.0085_G.0088,rooms_table
Meeting Room 3,12.0,2716,Usher Building,Bioquarter,Locally Allocated Space,Boardroom Style,Meeting Room,Yes,2716_00_G.41,rooms_table
Assembly Hall,320.0,401,New College,New College,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0401_01_AssemblyHall,rooms_table
LG.15,54.0,654,Murchison House,Kings Buildings,Centrally Allocated Space,Classroom Style,Teaching Studio,Yes,0654_-1_LG.15,rooms_table
00M.03 Zoo Arch Lab - Doorway 4,10.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Laboratory,Yes,0113_00M_00M.03,rooms_table
00M.07 Research Lab - Doorway 4,10.0,113,"Medical School, Teviot",Central,Locally Allocated Space,Specialist Room,Laboratory,Yes,0113_00M_00M.07,rooms_table
C.02,8.0,421,ECA Main Building,Lauriston,Locally Allocated Space,Specialist Room,ECA Specialist Space,Yes,0421_C_C.02,rooms_table
,25.0,,,Central,,,,,0008_02_2.417,inferred_from_events
,40.0,,,Central,,,,,0008_02_2.419,inferred_from_events
,208.0,,,Central,,,,,0103_01_1.B00,inferred_from_events
,129.0,,,Central,,,,,0114_-1_B.01-B.02,inferred_from_events
,220.0,,,Central,,,,,0114_-1_B.03-B.04,inferred_from_events
,70.0,,,Central,,,,,0114_-1_B.05,inferred_from_events
,620.0,,,Central,,,,,0114_00_G.01,inferred_from_events
,202.0,,,Central,,,,,0210_-1_B.53,inferred_from_events
,202.0,,,Central,,,,,0210_-1_B.54,inferred_from_events
,15.0,,,Central,,,,,0247_00_G.12,inferred_from_events
,30.0,,,Central,,,,,0252_01_1.2,inferred_from_events
,13.0,,,Central,,,,,0252_01_1.4,inferred_from_events
,13.0,,,Central,,,,,0252_02_2.2,inferred_from_events
,15.0,,,Central,,,,,0252_02_2.3,inferred_from_events
,13.0,,,Central,,,,,0252_03_3.3,inferred_from_events
,,,,Central,,,,,0282_00_G.01/02/07/07A,inferred_from_events
,30.0,,,Central,,,,,0310_00_G.04,inferred_from_events
,40.0,,,Central,,,,,0310_00_G.05,inferred_from_events
,10.0,,,Central,,,,,0310_01_1.01,inferred_from_events
,25.0,,,Central,,,,,0311_01_1.23,inferred_from_events
,20.0,,,New College,,,,,0401_00_G.19,inferred_from_events
,30.0,,,Lauriston,,,,,0422_I_I.01,inferred_from_events
,320.0,,,Central,,,,,0450_00_0.01,inferred_from_events
,15.0,,,Central,,,,,0450_01_1.04,inferred_from_events
,14.0,,,Central,,,,,0450_02_2.04,inferred_from_events
,50.0,,,Central,,,,,0450_02_2.22,inferred_from_events
,48.0,,,Central,,,,,0450_04_4.70,inferred_from_events
,40.0,,,Kings Buildings,,,,,0621_01_1.302,inferred_from_events
,20.0,,,Kings Buildings,,,,,0621_01_1.304,inferred_from_events
,40.0,,,Kings Buildings,,,,,0648_00_G.02,inferred_from_events
