description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
G.4,40.0,564,St Leonards Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0564_00_G4,rooms_table
2.14,40.0,564,St Leonards Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0564_02_2.14,rooms_table
Gym 2,40.0,564,St Leonards Land,Holyrood,Locally Allocated Space,Specialist Room,Gym,Yes,0564_02_2.4,rooms_table
3.15,24.0,564,St Leonards Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0564_03_3.15,rooms_table
3.16,24.0,564,St Leonards Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0564_03_3.16,rooms_table
3.23,25.0,564,St Leonards Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0564_03_3.23,rooms_table
3.24,40.0,564,St Leonards Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0564_03_3.24,rooms_table
3.25,20.0,564,St Leonards Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0564_03_3.25,rooms_table
Main Games Hall,200.0,564,St Leonards Land,Holyrood,Locally Allocated Space,Specialist Room,Gym,Yes,0564_03_3.8,rooms_table
Gym 3,40.0,564,St Leonards Land,Holyrood,Locally Allocated Space,Specialist Room,Gym,Yes,0564_04_4.5,rooms_table
Green Space Quad,40.0,555,Thomsons Land,Holyrood,Locally Allocated Space,Specialist Room,Outdoor Space,Yes,0555_00_??,rooms_table
G6 - Computer Lab,30.0,555,Thomsons Land,Holyrood,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0555_00_G.06,rooms_table
Drama,40.0,555,Thomsons Land,Holyrood,Locally Allocated Space,Specialist Room,Drama Room,Yes,0555_00_G.02,rooms_table
Godfrey Thomson Hall,100.0,555,Thomsons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0555_00_G.1,rooms_table
G10,8.0,555,Thomsons Land,Holyrood,Locally Allocated Space,Specialist Room,Art Studio,Yes,0555_00_G.10,rooms_table
G9,12.0,555,Thomsons Land,Holyrood,Locally Allocated Space,Specialist Room,Art Studio,Yes,0555_00_G.9,rooms_table
1.14 - COL,16.0,555,Thomsons Land,Holyrood,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0555_01_1.14,rooms_table
1.15,31.0,555,Thomsons Land,Holyrood,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0555_01_1.15,rooms_table
2.01,25.0,555,Thomsons Land,Holyrood,Centrally Allocated Space,Boardroom Style,General Teaching,Yes,0555_02_2.1,rooms_table
Classroom 10,86.0,616,Alrick,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0616_00_00.01-E,rooms_table
TLC,80.0,616,Alrick,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0616_01_01.03-E,rooms_table
Classroom 12,72.0,616,Alrick,Kings Buildings,Locally Allocated Space,Specialist Room,General Teaching,Yes,0616_02_02.02-E,rooms_table
Lecture Theatre 1,313.0,640,Ashworth Labs,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0640_00_G.0070,rooms_table
80,116.0,640,Ashworth Labs,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0640_00_G.0080,rooms_table
Lecture Theatre 3,88.0,640,Ashworth Labs,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0640_01_1.0107,rooms_table
Honours Room 2,33.0,640,Ashworth Labs,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0640_01_1.0114,rooms_table
Honours Room 1,35.0,640,Ashworth Labs,Kings Buildings,Centrally Allocated Space,Classroom Style,General Teaching,Yes,0640_01_1.0115,rooms_table
150 - Swipe Access Required,12.0,640,Ashworth Labs,Kings Buildings,Locally Allocated Space,Specialist Room,Meeting Room,Yes,0640_01_1.0150,rooms_table
1.03 - Swipe Access Required,30.0,640,Ashworth Labs,Kings Buildings,Locally Allocated Space,Specialist Room,Meeting Room,Yes,0640_01_1.03,rooms_table
250 - Swipe Access Required,12.0,640,Ashworth Labs,Kings Buildings,Locally Allocated Space,Specialist Room,Meeting Room,Yes,0640_02_2.0250,rooms_table
350 - Swipe Access Required,12.0,640,Ashworth Labs,Kings Buildings,Locally Allocated Space,Specialist Room,Meeting Room,Yes,0640_03_3.0350,rooms_table
301,24.0,621,Crew,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0621_01_1.301,rooms_table
G.27 Lecture Theatre 1,164.0,608,Daniel Rutherford Building,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0608_00_G.27,rooms_table
B.06,40.0,608,Daniel Rutherford Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0608_-1_B.6,rooms_table
B.07,72.0,608,Daniel Rutherford Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0608_-1_B.7,rooms_table
Lecture Theatre No. 1,200.0,601,Eng Sanderson Building,Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0601_00_G.14,rooms_table
G.20 Mechanical Engineering Laboratory,30.0,601,Eng Sanderson Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0601_00_G.20,rooms_table
