scenario,student_id,programme,n_scheduled_events,clash_count,has_clash,days_considered,free_lunch_days,has_majority_lunch
S1,Student06828,Social Policy and Politics (MA Hons) (Year 4),5,1,1,4,3,1
S1,Student06829,Politics (MA Hons) (Year 4),4,0,0,3,2,1
S1,Student06830,Pharmacology BSc (Hons) (Year 4),1,0,0,1,1,1
S1,Student06831,History (MA Hons) (Year 4),2,0,0,2,2,1
S1,Student06833,Computer Science (BSc Hons) (Year 4),7,1,1,4,3,1
S1,Student06834,Classical Studies (MA Hons) (Year 4),3,1,1,2,2,1
S1,Student06835,Architecture (MA Hons) (Year 4),9,3,1,5,3,1
S1,Student06836,History (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student06837,Business with Marketing MA (Hons) (Year 3),8,3,1,4,4,1
S1,Student06838,Business with Enterprise and Innovation MA (Hons) (Year 4),11,5,1,5,3,1
S1,Student06839,History (MA Hons) (Year 4),1,0,0,1,0,0
S1,Student06841,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),5,1,1,3,2,1
S1,Student06842,Middle Eastern Studies (MA Hons) (Year 4),4,2,1,2,1,0
S1,Student06843,History (MA Hons) (Year 4),1,0,0,1,1,1
S1,Student06844,Law (LLB Hons) (Year 3),5,1,1,4,3,1
S1,Student06845,Neuroscience BSc (Hons) (Year 4),10,7,1,5,5,1
S1,Student06846,Film and Television (BA Hons) (Year 4),5,1,1,3,2,1
S1,Student06847,Computer Science (BSc Hons) (Year 2),10,1,1,4,2,0
S1,Student06848,Geography (MA Hons) (Year 4),4,1,1,2,2,1
S1,Student06849,French and Politics (MA Hons) (Year 4),8,1,1,4,3,1
S1,Student06850,History of Art (PhD) (Full-time) (Year 1),1,0,0,1,1,1
S1,Student06851,Business with Enterprise and Innovation MA (Hons) (Year 2),7,1,1,3,1,0
S1,Student06852,Cognitive Science (BSc Hons) (Year 4),5,0,0,4,3,1
S1,Student06853,English and Scottish Literature (MA Hons) (Year 2),7,0,0,5,2,0
S1,Student06855,English Literature (MA Hons) (Year 4),2,0,0,2,1,0
S1,Student06856,History and Archaeology (MA Hons) (Year 4),2,0,0,2,2,1
S1,Student06857,International Business with Spanish MA (Hons) (Year 4),4,0,0,3,1,0
S1,Student06858,Business and Law MA (Hons) (Year 4),3,0,0,3,2,1
S1,Student06859,History (MA Hons) (Year 4),1,0,0,1,0,0
S1,Student06860,Mathematical Physics (BSc Hons) (Year 3),14,4,1,5,3,1
S1,Student06861,Geography and Social Anthropology (MA Hons) (Year 4),6,1,1,5,4,1
S1,Student06862,Computer Science and Management Science (BSc Hons) (Year 4),9,1,1,5,2,0
S1,Student06863,Physical Education MA (Hons) (Year 4),8,5,1,2,1,0
S1,Student06864,Biological Sciences (Immunology) (BSc Hons) (Year 4),12,8,1,4,2,0
S1,Student06865,"Environment, Culture and Society (MSc) (Full-time) (Year 1)",5,0,0,3,2,1
S1,Student06866,Computer Science (BSc Hons) (Year 4),9,1,1,4,3,1
S1,Student06867,Economics with Finance (MA Hons) (Year 4),4,0,0,3,2,1
S1,Student06868,Business and Geography MA (Hons) (Year 4),2,0,0,2,2,1
S1,Student06869,Economics (MA Hons) (Year 4),6,1,1,3,2,1
S1,Student06870,Chemistry (MChem) (Year 4),12,6,1,5,3,1
S1,Student06871,Politics (MA Hons) (Year 4),5,1,1,3,3,1
S1,Student06872,Mathematics and Statistics (BSc Hons) (Year 2),11,1,1,5,3,1
S1,Student06873,Spanish and Business MA (Hons) (Year 4),4,0,0,3,2,1
S1,Student06874,English Literature and Classics (MA Hons) (Year 4),3,1,1,2,1,0
S1,Student06875,Law (LLB Hons) (Year 4),2,0,0,2,2,1
S1,Student06876,Business with Decision Analytics MA (Hons) (Year 3),11,5,1,5,5,1
S1,Student06877,Applied Sport Science (BSc Hons) (Year 4),9,7,1,5,4,1
S1,Student06878,Physics (MPhys) (Year 4),16,8,1,5,2,0
S1,Student06879,International Business (MA Hons) (Year 4),10,4,1,5,2,0
S1,Student06880,Business with Enterprise and Innovation MA (Hons) (Year 4),9,2,1,5,3,1
S1,Student06881,Finance and Business MA (Hons) (Year 4),5,0,0,2,0,0
S1,Student06882,Geography and Archaeology (MA Hons) (Year 4),1,0,0,1,0,0
S1,Student06883,Biological Sciences (BSc Hons) (Year 2),6,2,1,4,4,1
S1,Student06884,Informatics (MInf) (Year 4),7,0,0,3,1,0
S1,Student06885,Biomedical and Health Applications of Data Science BSc (Hons) (Year 4),6,1,1,3,1,0
S1,Student06886,Sociology with Quantitative Methods (MA Hons) (Full-time) (Year 4),1,0,0,1,1,1
S1,Student06887,Law and Politics (LLB Hons) (Year 4),1,0,0,1,1,1
S1,Student06888,Interior Design (BA Hons) (Year 3),7,3,1,4,3,1
S1,Student06889,History and Economics MA (Hons) (Year 3),6,2,1,4,2,0
S1,Student06890,Business Management MA (Hons) (Year 3),4,0,0,3,1,0
S1,Student06891,Biological Sciences (Biotechnology) (BSc Hons) (Year 4),8,1,1,4,2,0
S1,Student06892,Sport and Recreation Management (BSc Hons) (Year 4),7,3,1,4,0,0
S1,Student06893,Psychology (BSc Hons) - 4 Years (Full-time) (Year 2),5,0,0,3,2,1
S1,Student06894,Illustration (BA Hons) (Year 4),6,1,1,4,3,1
